node_id,tokens,ord
135,"apples, baked, capital, cherries, eggs, glass, hops, kent, knows, oakland, sir, wine, women",135
136,"answered, being, emptied, filled, great, pickwick, pleasure, replied, stranger, tupman",136
137,"ball, come, go, like, mr, pickwick, resuming, said, subject, take, tupman",137
138,"a, bar, each, guinea, half, in, interposed, long, sir, waiter",138
139,"abstracted, applied, ask, being, changeless, cosy, couple, darkened, darkening, dessert, dinner, earnest, enjoy, enveloped, expressed, eye, fading, festivity, found, gaze, gazed, great, help, hours, interest, left, meeting, mr, party, pickwick, placed, port, present, response, snodgrass, succeeding, table, tupman, understand, waiter, wine, wish, withdrew",139
140,"air, bottle, button, buttoning, clouds, dripping, emptied, filled, fork, glass, handbag, hole, jug, man, minutes, moon, pardon, pass, poured, said, sir, sky, sock, stands, stars, sticking, stranger, stretches, sun, trees, used, way",140
141,"asleep, ball, countenance, disposed, ennobling, expression, fast, feet, fell, felt, fresh, glistening, glowed, glowing, humid, listened, lustrous, mantling, modes, moment, mr, ordered, passed, philanthropy, pickwick, radiant, rip_van, shining, snodgrass, sparkled, sparkling, superstition, supply, talked, tupman, universal, visitor, wine, winkle",141
142,"after, announced, before, beginning, come, commencement, company, fiddles, first, found, go, harp, last, left, noises, quadrille, said, sounds, stranger, take, time, tuning, various, way",142
143,"come, go, like, pickwick, said, take, tupman",143
144,"come, confounded, dark, go, heavy, luggage, odd, said, slantwise, smacks, stranger, take",144
145,"all, ardent, artlessness, basis, benevolence, charity, conjugal_affection, delicate, ductile, ethical, excellent, external_circumstances, features, found, garments, general, generosity, houses, imbecilities, incredible, instances, leading, left, majority, man, manner, members, moral, morality, mr, number, objects, observed, one, or, other, overruling, pecuniary, pickwick, places, practical, principle, product, recorded, referred, relief, remarkable, science, society, solely, theory, there, transactions, tupman, unbounded, veneration, volatility, zealous",145
146,"apparel, black_hair, blue_serge, change, dark_brown, fichu, freckled, happy, lend, mr, pickwick, plump, purpose, said, scarlet, slim, thin, trimmed, tupman",146
147,"adopted, bacchus, blue, buds, buttercups, cut, dismounted, distilled, double, endymion, fat, galloped, grass, green, grown, leaves, pass, purples, sunlight, thrushes, tub, whiffs, wine",147
148,"appeared, ascertained, bacchus, ball, calm, case, club, collected, community, compared, coughed, desired, dismounted, distinctions, endymion, every_muscle, existing, fact, felt, galloped, glance, indefinable, indignant, individual, influential, intense, intensity, latent, looked, looking, member, mr, pass, passed, peremptory, pickwick, relaxed, reverted, revulsion, scandalised, searching, seconds, several, stern, stranger, subject, tone, tupman, turned, wine",148
149,"apparel, better, brother, fit, friend, large, mr, observe, rip_van, said, small, suit, winkle",149
150,"beaded, characteristic, eye, feature, folds, gleaming, glistened, glistening, glittered, glittering, glossy, measure, mr, rip_van, said, satisfaction, sprinkled, stranger, tendrils, thing, took, winkle",150
151,"artifice, audible, beholder, being, blew, bosom, brilliancy, burst, chest, choke, consequences, contrast, contrasted, conviviality, dark, depth, dinner, discernible, dragging, dread, electric_light, enlighten, error, exerted, exertions, exhibited, exquisite, fitfully, flickered, gas, gentleman, gone, granite, great, grief, had, hand, head, height, incitement, indications, influence, interval, knowledge, lamp, leaped, leaping, lethargy, light, lighted, lit, looked, looking, man, misery, moment, morbidly, mr, now, ominous, only, ordinary, overstep, partial, passed, perpetual, pickwick, pipe, precede, presence, produced, rain, rip_van, sank, sea, senses, short, sill, snodgrass, snoring, social, sorrow, spurted, stages, staggering, stolen, street, sunk, tinged, towel, transitions, tupman, turned, unalloyed, uncertain, undergone, unnatural, vacuity, various, violent_passions, was, wind, wine, winkle, without_repining",151
152,"after, asleep, awoke, ball, beauty, bed, before, being, course, do, experience, fill, first, form, give, glass, go, great, had, hay_fields, house, impressions, indefatigable, infancy, influence, inhabitants, kentish, know, knowledge, ladies, last, lived, matters, moment, mr, natural, nature, ordinary, pass, pickwick, place, possess, present, required, rip_van, roll, said, say, seemed, social, stigmatize, stranger, strong, such, sufficient, take, temptation, think, time, tupman, unacquainted, undecided, visitor, was, why, wine, winkle",152
153,"additional, could, day, determination, did, first, glass, last, mr, pickwick, requested, settled, stimulus, time, tupman",153
154,"bag, ball, basket, bedroom, believe, bundle, carpet, case, cashmere, ceiling, certainly, continued, curtains, do, dress, fireplace, give, has, hot_water, know, mahogany, make, matter, mr, oaken, papered, pickwick, plate, question, replace, returned, rip_van, said, say, suit, supposing, think, took, troubling, tupman, understand, wanted, wax_candles, wearing, why, window_curtains, winkle, wish, woke, wore",154
155,"aprons, caps, cases, cloaks, coats, collars, damned, famous, good, hats, jackets, man, notion, object, obliged, odd, packing, plan, said, situation, stranger, wear",155
156,"pickwick, purchase, said, tickets, tupman",156
157,"after, before, bewitching, call, called, came, courtesy, day, dragon, first, guinea, hear, last, pay, said, sovereign, spin, splitting, stranger, time, toss, uppermost, went, woman, worth",157
158,"arrayed, bedecked, bell, brass, brocade, candlesticks, chamber, flagons, full, hour, leather, mr, napery, nathaniel, ordered, pewter, pickwick, purchased, quarter, rang, ringing, rip_van, salads, sconces, stranger, stuffed, suit, tickets, tupman, varnished, winkle",158
159,"after, amber_satin, animation, attention, before, being, brocade, bust, button, buttoned, buttoning, called, cap, carved, centre, chintz, club, coat, collar, companions, complacency, displayed, first, fork, gilt, glass, great, handbag, hat, inlaid, jacket, large, last, letters, made, mahogany, mr, new, ornamented, pickwick, plush, rosewood, said, side, small, sock, some, sticking, stranger, surveyed, time, tupman, vivacity",159
160,"being, buttoned, cap, coat, collar, device, does, explained, fellow, great, hat, importance, indignation, jacket, likeness, mystic, old, peculiar, pickwick, rising, said, set, stand, stranger, tupman",160
161,"accompanied, adjusted, again, aprons, ascended, away, back, ballroom, but, buttoned, buttons, cap, caps, catch, chin, cloaks, coat, coats, collar, collars, companion, contract, cuffs, dispensations, down, dress, general, get, glass, glimpse, greasy, half, handkerchief, hat, hats, it, jacket, jackets, laced, leading, leather, long, loosely, made, measuring, men, mr, mysterious, new, not, ones, pickwick, postman, providence, queer, rampart, rip_van, running, said, screwing, short, sleeves, soiled, some, staircase, start, stop, stranger, that, trousers, tupman, waist, waistcoat, way, wicket, winkle, wrists",161
162,"announce, door, immigrants, man, names, own, pickwick, prevented, said, sir, stepping, stranger, titles, tupman",162
163,"assemblies, ballroom, behind, being, capital, distinguished, do, door, entered, fire, foreigners, gentlemen, give, good, great, immigrants, impression, incog, know, known, large, make, mr, names, noblemen, ones, open, party, pickwick, public, say, small, stranger, thing, think, tupman, way, whispered",163
164,"adjoining, bare, beads, benches, boxes, candles, card, carpets, ceilings, chairs, chandeliers, confined, corresponding, covered, crimson, curtains_drawn, dancers, dat's, den, dey, dis, elevated, executing, folds, gauze, gentlemen, glass, glistened, glistening, glittered, got, half, hung, ladies, lined, long, lustrous, made, musicians, number, old, oop, oval, pair, pedestals, plastered, plate_glass, quadrilles, ranged, room, sets, sofas, some, stout, swathed, tables, tole, topped, wavy, wax, yellow",164
165,"companion, company, concluded, corner, dancers, finale, floor, front, hair_combed, mr, observe, pickwick, promenaded, room, stationed, tupman, window",165
166,"pickwick, said, tupman, women",166
167,"basement, come, commissioner, do, dockyard, fun, gentry, go, house, hulker_bullock, know, large, lower, minute, narrow, nobs, outer, paved, people, place, queer, rank, said, say, small, square, stranger, things, think, tradespeople, upper, wait, why, windows",167
168,"boy, brown, dark, dress, eyes, face, fancy, gauze, hair, inquired, lace, lavender, light, little, pickwick, pink, satin, scarlet, shapely, silk, thin, tulle, tupman, velvet, white_silk, yellow_hair",168
169,"being, boy, dress, ensign, eyes, face, family, fancy, gauze, great, honourable, lace, lavender, little, nonsense, pink, pray, satin, scarlet, silk, snipe, snipes, tulle, velvet, white_silk, wilmot",169
170,"being, blue, bright, broad, brocade, buttercups, buttoned, buttons, cap, coat, collar, collars, color, colourless, cool, created, cuffs, door, dresses, embroidered, entrance, gentleman, glitter, glittering, gowns, greasy, great, green, grey, hat, hue, intolerable, jacket, lace, laced, ladies, lady, large, lavender, leather, lustrous, made, man, misses, outline, pale, pink, purple, reaction, red, ribbons, room, sallowness, same, satin, scale, sensation, shining, shouted, silk, similar, sleeves, small, soft, soiled, some, stentorian, tall, thomas, translucent, transparent, trimmed, trousers, undefined, vague, velvet, voice, waistcoat, whiteness, yellow, young",170
171,"acquire, assembled, behind, being, black, blouse, bodice, bolt, charitable, committee, company, crowded, distinguished, ear, family, front, gentlemen, great, grey, hand, head, homage, honourable, incite, jacket, kerchief, knee_breeches, looked, looking, man, middle, misses, mr, other, peeling, pickwick, red, render, room, sat, serge, sir, sleeves, snipe, soiled, stood, stranger, thomas, top, tunic, tupman, turned, upright, ushered, vehicles, vest, wall, whispered, white, wilmot, yard",171
172,"announcement, misses, next",172
173,"inquired, pickwick, tupman",173
174,"acknowledged, answered, bowed, condescension, conscious, dockyard, else, eye, family, gallantry, glanced, glass, husband, lady, mr, mrs, replied, salute, sir, sister, stared, staring, stranger, thomas, took, turn, view, yard",174
175,"arrivals, colonel, miss, next",175
176,"garrison, inquiring, look, pickwick, reply, said, stranger, tupman",176
177,"affectionate, alexander, boxes, chairs, colonel, description, dishes, exchanged, greeting, lady, looked, looking, miss, misses, monarchs, pair, plates, sir, snuff, surveyed, tables, thomas, turned, welcomed",177
178,"accept, aristocracy, aristocratic, basement, brewer, brother, businesses, chosen, classes, colleges, consent, corporations, devoted, dignity, dockyard, end, establishments, example, families, functionaries, grade, grades, headed, house, husbands, imitating, important, induce, industries, internal, keeper, leader, less, lower_classes, manufacturing, merchant, mutual, mutual_affection, narrow, officers, other, outer, particular, parts, party, paved, place, population, preserving, room, seemed, snipes, society, solicitors, square, states, trade, upper, upper_classes, visited, wife, windows, wine, wives, workers",178
179,"added, addition, adorned, attention, bald, beard, black, bristly, brown, brownish, chatted, circle, closely_cropped, colours, continued, costly, could, danced, deficiencies, desirable, devoted, did, different_parts, dispositions, doctor, dress, endeared, european, expenses, extensive, fat, front, grey, grey_hair, hair, hand, head, important, improvement, income, indefatigable, jokes, lank, laughed, laughing, limited, little, made, man, middle, multifarious, old, ornament, ornamented, own, particular, paying, peeling, perfumes, personages, plain, played, playing, popular, present, profusion, pursuits, red, requirements, rich, richness, ring, sandy_hair, shapely, shirt_collar, situations, smiled, snuff, some, stubbly, surgeon, thin, took, top, traceries, tulle, unremitting, upright, variegated, velvets, wall, whist, white, widow, yellow_hair",179
180,"after, broke, companion, day, doctor, eyes, face, first, fixed, last, mr, pickwick, silence, stranger, time, tupman, widow",180
181,"bad, doctor, eyes, face, fun, girl, good, idea, intelligible, issued, lips, looked, looking, lots, money, mouth, old, pickwick, pompous, sentences, tupman, turned",181
182,"dance, said, stranger, widow",182
183,"inquired, pickwick, tupman",183
184,"admiration, air, astonishment, bow, ceremonies, commenced, continued, conversation, countenance, crossed, curled, curtsey, cut, danced, do, doctor, dropped, expression, fan, fat, few, gazed, gazing, goes, houses, introductory, know, lady, leaned, leaning, life, little, looked, looking, lord, mantel, master, melancholy, mute, old, pantomime, picked, pickwick, piece, places, presented, progressed, pushed, quadrille, respectful, returned, room, saw, say, scarf, smile, stopped, stranger, sunshade, think, threw, took, tremulous, tupman, turned, uncurled, walked, why, widow, words",184
185,"admitting, astonishment, attentions, being, believe, bouncing, brother, case, certainly, chilling, dancing, deeper, disadvantages, do, doctor, earnestness, enables, encounter, exceeded, expressive, extinguished, eyes, face, fact, feelings, flattered, friend, good, gravity, great, had, hopping, imperturbable, impossible, indignation, inflexible, integrity, intense, intensity, introducing, involves, knew, know, laudable, laughed, laughing, looked, looking, lost, man, many, mistaking, moment, mr, necessity, optics, painful, paralysed, people, pickwick, prejudice_against, proceeding, quadrille, really, rejected, requires, resolution, rival, say, seen, severe, smiled, solemnity, sternness, stranger, summary, suppose, surprise, thing, things, think, trial, tupman, turned, understand, unheeded, unwonted, veracity, vigour, was, were, widow, young",185
186,"bear, biscuits, bottled, butter, buttered, cake, carriage, cheese, coquetting, could, countenance, darted, darting, did, disappeared, dish, doctor, ensued, expression, few, glasses, hitherto, indignation, lead, moved, mrs, negus, particle, parts, passion, perspiration, population, potatoes, pudding, room, seconds, self, smoked, spoons, stranger, watched, watching",186
187,"doctor, exulting, laughed, laughing, life, little, low, pickwick, returning, smiled, spoke, stranger, thirsted, tone, triumphed, tupman",187
188,"added, angle, area, awful, barracks, card, chatham, choked, choking, circular, continued, doctor, indignation, more, name, passage, producing, regiment, retiring, said, sir, than, voice",188
189,"am, answered, attention, knock, obliged, polite, replied, stranger",189
190,"accept, brute, card, consent, coward, doctor, enable, furious, gasped, give, groaned, induce, liar, make, permit, poltroon, sir, submit, take",190
191,"better, caught, cruel, dry, elderly, evening, foolish, gentlemen, hot, landlord, lemonade, liberal, morning, moved, negus, night, rooms, said, see, slowly, step, stranger, strong, suffer, watched, watching",191
192,"call, evening, find, hear, house, indignant, intoxicated, little, man, morning, night, place, said, sir, stopping",192
193,"answered, found, home, left, replied, stranger, unmoved",193
194,"ascended, bedroom, bleached, borrowed, burnished, cap, coat, concavity, doctor, emerald, ferocious, ferocity, fixed, hand, hat, head, helmeted, indignant, knock, latter, looked, looking, mr, opal, pickwick, plumage, preserve, rainbow, rampart, restore, rip_van, shimmering, stifled, stranger, translucent, tupman, turned, unconscious, unutterable, winkle",194
195,"accompanies, affair, afterwards, asleep, bed, bewildered, brilliancy, brother, candlestick, complicated, departed, difficulty, evolutions, experiencing, exquisite, fast, finding, friend, gas_lamps, gentleman, get, hand, head, intended, jocose, joke, ladies, lamps, lights, made, managed, mr, negus, never, new, nightcap, orifice, overturning, pickwick, put, reception, repose, restoration, sank, series, shadows, slight, solitude, some, stranger, struggles, thought, tranquillity, tupman, whole, windows, wine, yet",195
196,"aroused, ceased, chamber, comprehensive, descriptive, door, evening, following, knocking, loud, lulled, mind, morning, night, o’clock, pickwick, plunged, slumber, state, striking, tupman, unconsciousness",196
197,"bed, pickwick, said, starting, tupman",197
198,"boots, shoes, sir",198
199,want,199
200,"amber_satin, blue, bright, broad, brocade, buttercups, button, buttoned, buttoning, cap, carved, chintz, coat, collar, cool, dress, fork, gentleman, gilt, glittering, green, grey, handbag, hat, inlaid, jacket, mahogany, ornamented, pale, party, plush, purple, red, rosewood, say, shining, sir, sock, soft, sticking, tell, wears, why, yellow",200
201,"belongs, brush, comb, dangling, forgotten, given, man, mr, never, pickwick, pinned, sponge, sticking, stocking, taken, thought, thread, tupman, yet",201
202,"called, hand, head, mr, next, right, rip_van, room, winkle",202
203,"boots, came, said, shoes, sir, went",203
204,"case, cried, door, knocking, loud, matter, mr, oblivious, pickwick, question, repose, roused, solitude, tranquillity, tupman",204
205,"answer, answered, boots, help, mr, outside, replied, rip_van, shoes, sir, speak, winkle",205
206,"calling, inner, pickwick, rip_van, room, shouted, tupman, winkle",206
207,"answered, bed, clothes, faint, hollo, replied, voice",207
208,"articulate, artifice, asleep, door, exerted, exertions, fast, feet, fell, having, incitement, looked, mr, overstep, pickwick, tupman, turned, wanted, without_repining",208
209,"articles, bed, clothing, distance, drawing, earth, few, items, jumping, mr, putting, rip_van, said, town, want, wanted, winkle",209
210,"answered, boots, closed, coffee, confronted, denial, detain, dismiss, door, gentleman, give, go, moment, mr, opened, replied, rip_van, room, says, shoes, sir, take, that's, winkle",210
211,"mr, odd, rip_van, said, winkle",211
212,"apron, attendants, black_silk, bonnet, cleaning, closed, coffee, corner, couple, crape, door, dressing, dressing_gown, entered, forbearance, frock, gown, hand, handkerchief, hasten, head, inclination, looked, looking, made, mr, officer, old, opened, ordered, presume, proceeded, retire, rip_van, room, said, shawl, shut, slowly, some, stiff, tall_gaunt, thin, travelling, turned, undress, uniform, waiters, window, winkle, woman, wrapped",212
213,"name, rip_van, sir, winkle",213
214,"behalf, brother, called, doctor, evening, friend, inform, morning, night, surprised",214
215,"doctor, rip_van, said, winkle",215
216,"added, afternoon, all, begged, conduct, continued, day, description, doctor, endure, evening, express, first, gentleman, judgment, last, morning, one, opinion, or, pursue, there, time",216
217,"astonishment, brother, doctor, escape, evident, friend, mr, observation, proceeded, real, rip_van, winkle",217
218,"accept, add, afternoon, allow, apology, behaviour, brother, commissioned, consent, crime, dictation, do, doctor, evening, excuse, extent, friend, guilty, induce, insult, intoxicated, know, morning, penned, persuaded, pleaded, portion, requested, say, tell, think, why, written",218
219,"amazement, apology, contemptuous, emphasis, emphatic, mr, possible, repeated, rip_van, sarcasm, tone, winkle, written",219
220,"alternative, answered, deception, do, know, replied, say, think, visitor, why",220
221,"confused, conversation, extraordinary, inquired, intellects, intrusted, message, mr, name, rip_van, winkle",221
222,"amber_satin, answered, blue, bright, broad, brocade, bust, buttercups, button, buttoned, buttoning, cap, card, carved, chintz, coat, collar, consequence, cool, desired, displaying, doctor, dress, firm, fork, gentleman, gilt, give, glittering, green, grey, handbag, hat, identify, inlaid, jacket, letters, mahogany, make, ornamented, pale, plush, present, purple, red, refusal, replied, rosewood, shining, sock, soft, sticking, take, uncommon, visitor, wearer, yellow",222
223,"afternoon, appearing, arrived, astonishment, attired, backward, bar, brother, buttoned, cap, coat, collar, convinced, costume, described, doctor, evening, friend, gentleman, gentlemen, hand, hat, head, heard, inquiries, jacket, late, leaped, made, matter, mr, own, owner, party, proceeded, question, referred, rip_van, sent, some, sprang, staggered, winkle, yesterday",223
224,"accept, address, after, allow, astonishment, before, borders, buttoned, cap, castle, coat, coffee, collar, compared, corner, detain, dismiss, first, foundation, had, hat, heard, impression, jacket, last, moment, mr, north_east, principal, profound, rip_van, rochester, room, said, south_west, spire, stationed, stolen, stopped, surprise, time, tower, walked, was, window, winkle",224
225,"answered, replied, unwelcome, visitor",225
226,"bag, basket, bundle, buttoned, cap, close, closed, coat, collar, day, evident, exhibiting, had, hand, hat, head, hot_water, house, inspection, jacket, morning, mr, night, opened, place, plate, preceding, ran, rip_van, shabbier, stopped, tokens, trembled, trembling, usual, was, winkle, worn",226
227,"abiding, accepting, afterwards, arms, buttoned, cap, case, challenge, changed, cigar, coat, coffee, collar, concealment, consequence, consequences, dinner, direction, distinct, doctor, doubt, dreadful, drunk, ensue, error, fact, fall, gloomy, gone, hands, hat, have, hob, insulted, insurmountable, is, jacket, letting, message, mountaineer, mr, much, obstacle, recollection, resolve, retraced, rip_van, room, said, saying, sensation, smoked, smoking, steps, streets, terrible, took, undefined, vague, walking, warlike, wine, winkle, worst",227
228,"above, act, after, amusement, applied, arrangement, assignment, authorities, authority, ball, before, besides, club, commercial, communicate, considerations, convey, danger, day, deepening, defensive, depicted, determination, dexterity, executive, eye, firms, first, flowing, follower, gentleman, glowed, glowing, heard, high, honesty, independent, inoffensive, intelligence, killing, last, leader, loaded, local, looked, looking, lose, lost, lustre, lustrous, maiming, mantling, matters, mr, name, northern_pacific, occasion, offensive, pickwick, pistols, prevent, profession, put, radiant, rafalsky, reflected, reform_association, remembered, reputation, rip_van, second, seconds, shrunk, sitting, snodgrass, sparkled, standing, state_treasurer, such, surmised, terms, test, time, transmitting, trial, tupman, turned, understood, uninitiated, urged, variety, veiled, winkle",228
229,"accepting, challenge, coffee, continued, doctor, intention, intimated, returned, room, such, thoughts",229
230,"after, arrange, brother, day, first, friend, house, last, meeting, officer, place, refer, said, time",230
231,"afterwards, answered, attendance, brother, friend, more_explicit, mr, name, perform, procure, replied, rip_van, unnecessary, winkle",231
232,"afternoon, careless, do, dusk, evening, frosty, inquired, know, misty, moon_shone, morning, officer, say, sun_shone, sunset, tell, think, tone, twilight, why, wintry",232
233,"answered, bad, doing, good, heart, mr, replied, rip_van, thinking, winkle",233
234,"do, fort, know, lord_steyne, major_dobbin, pitt, rawdon, say, think, why",234
235,"saw, yesterday",235
236,"affair, angle, area, arrive, below, borders, bring, circular, conducted, disturbance, fear, field, foot, fortification, found, give, go, ground, house, interruption, intersected, keep, left, path, place, pointed_out, precede, secluded, see, take, tower, trench, trouble, turn",236
237,"disturbance, fear, interruption, never, rip_van, thought, winkle, yet",237
238,"arrange, do, know, more, officer, said, say, than, think, why",238
239,"answered, aware, evening, good, morning, night, replied, rip_van, winkle",239
240,"air, evening, good, horse's_feet, morning, night, officer, strode, whistled",240
241,"anticipation, appeared, attachment, breakfast, came, castle, caught, chilling, condition, day, depression, disposed, dissipation, evening, evinced, labour, member, morning, moved, mr, next_day, night, now, only, opportunity, other, partiality, party, passed, pickwick, poetical, previous, proposed, restlessness, rip_van, rise, silence, snodgrass, spirits, tupman, unusual, unwonted, visit, walk, wanting, watched, watching, went, winkle",241
242,"availed, dear, fellow, hoped, looked, mr, public, rely, rip_van, said, secrecy, snodgrass, street, turned, winkle",242
243,"answered, call, hear, replied, snodgrass, swear",243
244,"companion, give, idea, information, interrupted, make, more_explicit, pledging, rip_van, swear, take, terrified, unnecessary, winkle",244
245,"above, appeal, assumed, attention, attitude, beneath, blue_sky, bluest, clouds, dark, drew, dropped, fairfield, floated, had, hand, haze, head, high, made, mist, misty, mr, poesy, raised, shadows, sky, snodgrass, some, soul, spirit, stars, threw, was, waves",245
246,"affair, assistance, dear, fellow, honour, rip_van, said, want, winkle",246
247,"answered, arms_round, brother, clasped, clasping, convulsively, friend, hand, have, head, replied, snodgrass",247
248,"affair, afternoon, appear, case, doctor, evening, field, fort, give, lonely, lord_steyne, major_dobbin, make, matter, morning, mr, officer, pitt, possible, question, rawdon, rip_van, said, seconded, winkle, wishing",248
249,"attend, said, snodgrass",249
250,"astonished, bright, brother, cases, cool, dismayed, extraordinary, feelings, forgotten, friend, judged, means, own, party, principal, rip_van, such, warm, winkle",250
251,"consequences, dreadful, error, rip_van, said, winkle",251
252,"hope, said, snodgrass",252
253,"believe, certainly, doctor, good, really, rip_van, said, shot, suppose, understand, winkle",253
254,"men, military, observed, snodgrass",254
255,"affirmative, alarmed, answered, changed, companion, foot, ground, mr, perceiving, replied, rip_van, winkle",255
256,"arms, emotion, fall, father, find, hands, house, letter, mute, note, packet, place, said, tremulous, voice",256
257,"affected, attack, delivery, failure, letter, note, postman, snodgrass, twopenny, undertook",257
258,"accessory, brother, case, dear, disprove, doctor, fact, fall, falls, friend, impute, involve, justify, life, mislead, motive, mr, rip_van, said, transportation, tried, unqualified, winkle",258
259,"brave, cause, dangers, evils, exclaimed, friendship, heroism, hypocrisy, invincible, little, mr, passions, snodgrass, winced",259
260,"black_silk, black_velvet, broadcloth, companion, cursed, desperate, devoted, evening, friendship, grew, immersed, kid_gloves, lace, meditations, minutes, morning, mr, night, own, rip_van, side, silk, stopped, trimmed, walked, wearing, white_silk, winkle, wore",260
261,"assignment, assistance, authorities, balked, barracks, case, chatham, commercial, convey, custody, do, doctor, duel, enable, executive, firms, give, go, induced, information, know, let, local, make, matter, northern_pacific, obtain, officers, peace, perform, present, prevent, quartered, question, rafalsky, reform_association, regiment, said, say, secure, several, state_treasurer, stopping, take, tell, think, why",261
262,"answered, brother, friend, hand, head, mr, replied, seized, snodgrass, worlds",262
263,"animated, become, brother, conviction, destined, fears, frame, friend, had, hope, mr, overcome, passed, rip_van, rushed, sprang, target, was, winkle",263
264,"accompaniments, approaching, arrange, ball, baskets, battle, bonnets, caps, case, coats, continued, explained, fact, friends, hats, hired, immediate, inn, manufacturer, matter, mr, order, pistols, powder, proper, put, returned, rip_van, rochester, ruminate, satisfactory, snodgrass, state, struggle, use, war, weapons, winkle",264
265,"afternoon, architraves, awkward, bore, brazier, candies, cap, cloak, cluttered, dark, destruction, dimly_lit, dull, errand, escape, evening, growing, heavy, huge, instruments, leaded, morning, mr, muffled, observation, rip_van, sallied, sandstone, slantwise, snodgrass, stagnant_water, weedy, white_marble, winkle",265
266,"agitated, got, rip_van, said, tone, winkle",266
267,"ammunition, answered, bullets, case, effect, fact, give, go, got, magazines, matter, newspapers, plenty, pocket, pound, powder, quarter, replied, shillings, shots, snodgrass, take",267
268,"added, compassion, continued, dissimulation, feel, friendship, grateful, gratitude, imbecilities, instances, involuntary, is, man, mr, powerful, presumption, returned, rip_van, said, uncontrollable, utterance, walk, were, winkle",268
269,"after, before, clambered, climbed, clouds, day, declining, excellent, fades, fence, field, first, garden_fence, glimmers, going, gushes, last, looked, looking, moon, mr, never, orb, pavement, probability, radiance, rip_van, roadside, said, scents, sky, snodgrass, stars, stretches, sumach, sun, sunbeams, thought, time, trees, turned, winkle, yet, zephyrs",269
270,"exclaimed, few, minutes, mr, officer, rip_van, walking, winkle",270
271,"said, snodgrass",271
272,"beckoning, blue, broad, brother, buttercups, consciousness, described, dimly_lit, direction, distance, evinced, figure, followed, forefinger, friend, friends, gentleman, glittering, green, grey, hand, head, indicated, little, looked, looking, muffled, observed, officer, presence, purple, red, shining, snodgrass, stopped, thumbs, turned, walked, yellow",272
273,"afternoon, angle, area, background, circular, colossal, deserted, dips, distant, dog, dull, evening, feelings, fields, giant, grave, grew, growing, hills, house, imparted, impetuous_torrent, lanes, languor, looked, looking, luminous, mass, meadows, melancholy, moment, morning, passed, place, prows, radiance, rain, rip_van, roseate, sadness, scene, sea, shadowy, sombre, sounded, started, stopped, tinge, trees, trench, turned, uncharted, valley, vultures, wallowed, whistling, wind, winkle, woods",273
274,"below, black, braided, brown, bushes, camp, chestnut_hair, climbing, coloured_ribbons, dark_brown, entered, equanimity, farm_buildings, fat, field, gentlemen, glossy, grey, hair, hedge, hillside, little, looked, man, meadow, officer, other, paling, path, peeling, perfect, personage, plated, portly, red, satin, scaling, scarlet, secluded, shapely, sheltering, simple, sitting, skirted, slope, standing, stool, surtout, taffeta, tassels, thin, tulle, turf, turned, waiting, white, wooden_bridge, yellow_hair",274
275,"believe, bottle, bottomed_chairs, brandy, brother, cloth, drop, exhilarating, friend, give, go, jug, leather, lengthened, lined, liquid, mean, mr, oil_cloth, other, party, plush, proffered, pull, really, rip_van, said, seized, sinuous, snodgrass, suppose, surgeon, take, tendrils, took, wicker, winkle",275
276,"approached, bowed, brother, carried, case, doctor, fact, friend, matter, mr, officer, produced, rip_van, said, similar, sir, snodgrass, winkle",276
277,"apology, case, closed, declined, do, fact, farther, further, have, know, matter, opened, remarked, say, sir, tell, think, why",277
278,"began, feel, mr, said, sir, snodgrass, uncomfortable",278
279,"officer, said, step",279
280,"answered, arranged, foot, ground, measured, preliminaries, replied, snodgrass",280
281,"better, find, load, object, opening, opposite, own, pistols, producing, said, saw, situation, use",281
282,"abnormal, answered, considerable, distinct, embarrassment, loading, notions, offer, pistol, previous, relieved, replied, sensation, snodgrass, undefined, vague, worldly",282
283,"do, house, indifference, know, men, much, observed, officer, place, players, principals, reserve, say, seconds, think, why",283
284,"answered, assented, came, case, crossed, do, doctor, knew, know, matter, mr, officer, proposition, question, replied, rip_van, say, snodgrass, think, went, why, winkle",284
285,"cap, cloak, give, make, offering, pistol, ready, said, take",285
286,"dear, fellow, got, packet, poor, rip_van, said, winkle",286
287,"right, said, snodgrass, steady, turf, wing",287
288,"accepted, admirable, advice, after, approached, boy, bystanders, camp, cap, cloak, come, could, day, did, do, fight, first, gentleman, give, go, had, half, know, last, long, make, mr, occurred, other, pistol, recommend, retired, rip_van, same, say, seconds, silence, smallest, stool, street, take, thing, think, time, took, undo, was, why, winkle",288
289,"arrived, catch, cause, circumstance, closed, conjectured, creature, demeanour, discovery, doctor, extraordinary, extreme, eyes, face, fatal, fellow, gentleman, glanced, humanity, hurt, inexplicable, mankind, mr, observing, opened, powers, prevented, reluctance, remarkable, retreated, rip_van, rubbed, rubbing, shouted, shut, shutting, slowly, spot, stared, staring, start, started, stop, stopped, superstition, unaccountable, unwillingness, vice, virtue, whimsical, winkle",289
290,"brother, came, doctor, friend, man, running, said, snodgrass, went",290
291,"doctor, man, said",291
292,"man, said, snodgrass",292
293,"camp, gentleman, hand, head, man, said, stool",293
294,"answered, day, doctor, first, insulted, last, little, morning, night, person, replied, time",294
295,"exclaimed, extraordinary, officer",295
